Id_wisata,Nama Wisata,Deskripsi,Jenis Wisata,Lokasi,Ratings,TAG,Harga Tiket,Images
61,Bukit Waru,Bukit Waru Pamekasan berlokasi di desa waru. Bukit Waru mempunyai pemandangan yang indah. Tidak salah jika wisatawan yang berkunjung betah di sana. Bukit ini bisa menjadi alternatif lain jika ingin menikmati suasana alam. Segarnya alat pegunungan ditambah spot foto menambah nilai lebih tempat ini. Wisata Bukit Waru ini sangat cocok untuk waktu liburan atau akhir pekan. Keindahan ini layak dinikmati untuk semua usia. Udara yang segar dipadukan dengan asrinya pepohonan yang menyegarkan mata. Tidak heran jika banyak yang datang berkunjung di masa-masa liburan.,Wisata Alam,Kabupaten Pamekasan,4.6,Bukit,Gratis,Bukit_Waru.png
62,Alun-Alun Pamekasan,Semua kota besar pasti mempunyai alun-alun. Begitu pula dengan Pamekasan. Tempat ini menyimpan pesona indah yang tidak ada kalahnya dengan alun-alun kota lain. Penduduk asli Pamekasan sangat ramah tamah pada warga pendatang dan  wisatawan asing dan wisatawan lokal. Di Alun-Alun Pamekasan ada monumen yang berdiri megah yang menjadi ciri kota Pamekasan. Monumen itu adalah monumen yang berbentuk seperti celurit yang bernama Monumen Arek Lancor.,Wisata Buatan,Kabupaten Pamekasan,4.5,Taman,Gratis,Alun_Alun_Pamekasan.png
63,Wahana Bukit Cinta,"Wisata selanjutnya adalah Wahana Bukit Cinta. Disebut dengan bukit cinta karena bukit tersebut dilengkapi tangga yang berbentuk hati. Karena alasan itulah banyak pasangan yang sengaja berkunjung untuk mengabadikan momen bersama pasangan yang tidak akan  pernah dilupakan. Selain tangga berbentuk hati, Bukit Cinta juga dihiasi dengan hamparan rumput hijau yang terbentang luas. Itu yang membuat pemandangan semakin indah dan aura cinta dan kasih semakin terpancar. Di sana juga disediakan beberapa wahana seperti flying fox bagi yang ingin menguji adrenalin.",Wisata Alam,Kabupaten Pamekasan,4,Bukit,12000,Wahana_Bukit_Cinta.png
64,Puncak Batu Ratu,"Destinasi Wisata selanjutnya adalah Puncak Ratu yang berlokasi di Dusun Monging, Desa Tebul Barat. Wisatawan bisa berfoto di spot-spot yang sudah disediakan oleh pengelola. Pepohonan di sana makin menambah keindahan pemandangan. Untuk dapat menikmati keindahan Puncak Batu Ratu, pengunjung tidak perlu mengeluarkan dana yang besar. Cukup siapkan uang parkir kendaraan dan tiket masuk sebesar Rp. 10.000 saja. Dijamin tidak akan kecewa dengan panorama yang disuguhkan.",Wisata Alam,Kabupaten Pamekasan,4.3,Bukit,10000,Puncak_Ratu_Pamekasan.png
65,Air Terjun Ahatan,"Wisata air terjun selanjutnya adalah air terjun Ahatan. Air  terjun ini lumayan terkenal yang berlokasi di terletak di desa  Tlontoraja. Hanya saja akses untuk menuju air terjun ini tidaklah mudah. Jadi butuh kesabaran dari pengunjung untuk menuju lokasi. Air terjun ini mempunyai ketinggian sekitar 30 meter dengan air yang sangat jernih. Belum banyak wisatawan yang mengunjungi air terjun ini karena belum dikelola oleh pengelola yang handal. Ditambah lagi belum ada fasilitas pendukung seperti warung, jadi harap membawa makanan dari rumah sebagai bekal.",Wisata Alam,Kabupaten Pamekasan,4.1,Air Terjun,Gratis,Air_Terjun_Ahatan.png
66,Brukoh Pakong,Pamekasan masih menyimpan wisata yang harus dikunjungi jika ke Madura. Tempat itu yaitu Brukoh Pakong Para pengunjung dapat menyaksikan pemandangan Kota Pamekasan dari atas bukit dengan hijaunya pepohonan yang menambah asri tempat ini. Paru-paru juga akan merasa nyaman akan sejuknya udara. Pengunjung betul-betul akan dimanjakan luar dalam oleh Brukoh Bakong ini. Tidak heran jika lokasi ini jadi menjadi lokasi wisata pilihan yang menyehatkan badan. Biaya untuk ke lokasi juga terjangkau.,Wisata Alam,Kabupaten Pamekasan,3.8,Bukit,5000,Brukoh_Pakong.png
67,Situs Sejarah Makam Ronggosukowati,"Jika ingin berwisata sambil belajar sejarah maka Makam Ronggosukowati bisa menjadi pilihan utama untuk dikunjungi. Makam ini berlokasi di Kolpajung. Kurang lebih 1 Km sebelah utara dari alun-alun Pamekasan. Situs ini adalah komplek makam Pangeran Ronggo Sukowati beserta keluarganya. Ronggosukowati adalah raja Islam pertama sekaligus pendiri Kabupaten Pamekasan. Situs ini adalah komplek pemakaman tertua yang ada di Pulau Madura. Itulah alasan kenapa jika ingin belajar sejarah Islam di Pulau Madura, maka makam ini adalah pilihan yang sangat bagus.",Wisata Buatan,Kabupaten Pamekasan,5,Wisata Religi,Gratis,Situs_Sejarah_Makam_Ronggosukowati.png
68,Dermaga Pelabuhan Branta,"Khusus untuk Anda yang hobi memancing, Dermaga Pelabuhan Branta merupakan tempat wisata yang sangat pas untuk Anda. Di pelabuhan ini ada sebuah dermaga yang bisa dimanfaatkan sebagai spot untuk memancing. Walaupun ikan yang bisa ditangkap di sini hanya ikan-ikan kecil, namun secara keseluruhan spot pemancingan ini masih tergolong cukup layak untuk disambangi. Selain cocok untuk dijadikan sebagai spot untuk memancing, Dermaga Pelabuhan Branta juga bisa dijadikan sebagai lokasi untuk joging, bersepeda santai, atau sekedar duduk-duduk bersama dengan kerabat. Hempasan angin di dermaga ini tergolong cukup kencang. Untuk itu, jangan terlalu heran kalau anda tidak merasa kepanasan walaupun saat itu matahari sedang bersinar terik.",Wisata Alam,Kabupaten Pamekasan,4.3,Pelabuhan,5000,dermaga_pelabuhan_branta.png
69,Tebing Labeng (Panjat Tebing Gunung Labeng Waru),"Tempat wisata di pamekasan yang selanjurnya adalah Tebing waru. Tebing waru merupakan salah satu tempat terbaik untuk berburu foto di Pamekasan. Di lokasi tebing ini ada banyak spot foto yang sangat menarik, seperti padang rumput, areal tebing, perkampungan masyarakat sekitar, gua angin, kerajaan monyet, dll. Selain cocok untuk dijadikan sebagai spot untuk berfoto, beberapa lokasi tersebut juga cocok untuk dijadikan sebagai tempat untuk memacu adrenalin. Sekedar informasi, Spot Kerajaan Monyet, diberi nama ""Kerajaan Monyet"" karena tempat tersebut ditinggali oleh kawanan monyet yang membentuk koloni. Uniknya, walaupun satu spesies, tidak jarang terjadi ""peperangan"" antar koloni yang disebabkan oleh perebutan wilayah kekuasaan.",Wisata Alam,Kabupaten Pamekasan,4.6,Bukit,Gratis,Tebing_waru.png
70,Edu Wisata Selamat Pagi Madura,"Mulai beroperasi sejak Tahun 2016, Edu Wisata Selamat Pagi Madura saat ini merupakan salah satu objek wisata keluarga paling populer di kalangan wisatawan lokal Pamekasan dan Kab-Kab di sekitarnya. Objek wisata edu wisata ini menawarkan paket wisata yang sangat lengkap dan tersedia seluruh kalangan usia. Untuk anak-anak ada wahana kolam renang khusus anak-anak, area play ground, jaring para-para, dan area berkuda. Sedangkan untuk orang dewasa ada kolam ikan khusus pemancingan, tempat belajar memanah, dll.",Wisata Buatan,Kabupaten Pamekasan,4,Wisata Hiburan,20000,edu_wisata_selamat_pagi.png
71,Monumen Nasional Arek Lancor,"Monumen Nasional Arek Lancor merupakan ""Tugu Kujangnya"" Kab Pamekasan. Monumen ini merupakan monumen berbentuk tugu yang didirikan secara khusus sebagai bentuk penghargaan bagai para pejuang yang pernah berjuang memerdekakan Pamekasan dari cengkeraman pada Penjajah. Jika dilihat sekilas, bentuk monumen Arek Lancor akan terlihat seperti lafadz Allah. Padahal sejatinya monumen ini memiliki bentuk yang ""senada"" dengan Tugu Kujang di Kota Bogor, yaitu sama-sama berupa alat tajam. Nama ""Arek Lancor"" sendiri sejatinya merupakan nama dua senjata khas Pulau Madura, terutama Pamekasan. Menurut masyarakat sekitar, dua senjata tajam tersebut merupakan lambang dari nilai-nilai entik mereka yang keras, tegas, dan berani dalam mempertahankan hak.",Wisata Buatan,Kabupaten Pamekasan,4.7,Wisata Budaya,5000,Monumen_arek_lancor.png
72,Masjid Agung Asy Syuhada Pamekasan,"Masjid Agung Asy Syuhada merupakan salah satu objek wisata religi tertua sekaligus termegah di Pamekasan. Menurut catatan sejarah, bangunan masjid ini sudah ada sejak abad ke 16. Hanya saja pada waktu itu di masjid ini belum bernama Masjid Agung Asy Syuhada, melainkan masih Maseghit Rato. Selain berstatus sebagai masjid tertua dan termegah di Pamekasan, Masjid Agung Asy syuhada Pamekasan juga pernah menjadi saksi bisu terjadinya pembantain di masa-masa awal kemerdekaan Indonesia. Di balik sejarah yang dimilikinya, Masjid Asy-Syuhada juga sangat terkenal dengan bangunan arsitekturnya yang megah. Saat masuk ke masjid ini, di bagian depan anda akan disambut dengan gapura. Selain itu, ada juga dua buah menara masjid yang difungsikan sebagai tempat untuk meletakkan pengeras suara di kedua sisi sampingnya.",Wisata Buatan,Kabupaten Pamekasan,4.7,Wisata Religi,Gratis,Masjid_Agung_AsSyuhada.png
73,Pantai Batu Kerbuy,"Pantai ini sangat terkenal di kalangan wisatawan bukan karena hamparan pasir putih yang halus layaknya kebanyakan pantai lainnya. Pantai ini banyak dikenal wisatawan karena hamparan batu karangnya yang sangat luas, yaitu mencapai 5 hektar. Menurut penuturan masyarakat setempat, penamaan Batu Karbut dilakukan karena dulu ada sbeuah batu yang bentuknya mirip seperti kerbau. Batu tersebut dulunya adalah manusia yang terkena kutukan sehingga berubah menjadi seekor kerbau. Walaupun pantai ini terkenal karena hamparan batu karangnya, namun bukan berarti pantai ini tidak memiliki pasir lho ya! Pantai ini juga memiliki pasir berwarna putih yang sangat halus.",Wisata Alam,Kabupaten Pamekasan,4.1,Pantai,3000,Pantai_Batu_Kerbuy.png
74,Gua Mas,"Pilihan tempat wisata di Kabupaten Pamekasan berikutnya adalah Gua Mas yang berbeda dengan goa pada umumnya. Sebab Gua Mas masih mempunyai penampilan yang begitu natural dan menjadi daya tarik tersendiri. Keberadaan stalaktit dan stalagmit seperti memenuhi lajur jalan yang begitu terbatas. Tetapi hal itu juga yang menjadi daya tarik tersendiri untuk para anak muda yang datang berkunjung. Para pengunjung sering mengabadikan momen di gua unik yang berlokasi di Desa Blaban Kecamatan Batumarmar kabupaten Pamekasan tersebut. Bukan hanya itu, jalur masuk yang berupa bekas sumur galian warga seperti member kesan menarik untuk pengunjung yang suka berpetualang.",Wisata Alam,Kabupaten Pamekasan,4.3,Goa,20000,Gua_Mas.png
75,Gili Iyang,"Menurut informasi yang beredar, pulau ini memiliki udara dengan kadar oksigen tertinggi (bukan hanya di Sumenep ataupun Indonesia, namun di seluruh penjuru dunia. Tidak hanya itu, tempat wisata di Sumenep yang satu ini juga memiliki pantai pasir putih yang sangat panjang dengan air pantai yang luar biasa bersih dan tenang. Saat berkunjung ke pulau mini ini Anda bisa melakukan berbagai macam aktivitas wisata menarik seperti berjemur di pinggir pantai, bermain air dan berenang, snorkeling, berkeliling areal pulau, berburu foto, menikmati sunset di sore hari, dan lain sebagainya.",Wisata Alam,Kabupaten Sumenep,4.5,Pulau,20000,gili_iyang.png
76,Gili Labak,"Gili Labak adalah sebuah pulau kecil menawan yang terletak di Selat Madura, tepatnya disebelah Tenggara Pulau Madura yang masuk dalam wilayah administrasi Kecamatan Talango Kabupaten Sumenep Madura Jawa Timur. Pulau Gili Labak memiliki luas hanya sekitar 5 hektar yang dihuni kurang lebih 35 kepala keluarga saja. Keindahan yang dimiliki Pulau Gili Labak mulai tercium para traveller yang menyukai lokasi wisata terpencil serta alami dan jauh dari kebisingan kota. Saat ini Pulau Gili Labak menjadi salah satu tujuan wisata favorit yang berada di wilayah Timur Pulau Jawa. Bertambah nya jumlah perahu yang tersedia untuk mengantarkan para wisatawan menyebrang ke Gili labak disetiap akhir pekan menunjukkan pulau ini semakin diminati dan menjadi salah satu destinasi pengisi masa liburan.",Wisata Alam,Kabupaten Sumenep,4.8,Pulau,415000,Gili_labak.png
77,Gili Genting,"Gili Genting menawarkan daya tarik utama berupa area pantai yang sangat bersih dan alami. Nama pantai tersebut adalah Pantai Kahuripan. Pantai Kahuripan memiliki panorama alam yang sangat luar biasa. Tidak seperti kebanyakan pantai lainnya yang menawarkan area pantai saja, Pantai Kahuripan juga turut menawarkan area dataran tebing dan area bebatuan yang sangat eksotis. Area pinggiran pantainya ditumbuhi oleh pepohonan rindang yang bisa dimanfaatkan sebagai tempat untuk berteduh.",Wisata Alam,Kabupaten Sumenep,4.4,Pulau,10000,gili_genting.png
78,Pulau Sapeken,"Pulau Sapeken merupakan salah satu pulau terluar yang ada di Kepulauan Madura. Pulau ini menawarkan daya tarik utama berupa kawasan terumbu karang yang luar biasa luas. Kabarnya, hampir 50 persen dari total luasan terumbu karang di kepulauan Madura dan kangean terletak di area pulau ini. Karenanya, pulau ini benar-benar sangat pas untuk dijadikan sebagai spot sonerkeling. Karena terletak di ujung sebelah timur Kepulauan Madura, waktu yang dibutuhkan untuk bisa aspai ke Pulau Sapeken tergolong agak cukup lama. ",Wisata Alam,Kabupaten Sumenep,4.2,Pulau,125000,Pulau_sapeken.png
79,Pantai Lombang,"Pantai ini terletak di Kec. Batang-Batang, Kab. Sumenep, Madura, Jawa Timur. Tempat jalan-jalan di Sumenep yang berikutnya adalah Pantai Lombang. Pantai Lombang merupakan salah satu objek wisata pantai paling favorit di Kab. Sumenep. Pantai ini menawarkan daya tarik utama berupa garis pantai yang panjang dan lebar. Selain itu kondisi lingkungan sekitar pantai ini pun juga masih sangat alami dan terjaga dengan baik. Wilayah pinggiran pantai ini ditumbuhi oleh pepohonan cemara udang yang rimbun. Oleh karenanya, Anda tidak perlu takut kepanasan di sini, karena bisa berteduh di bawah pohon cemara yang ada di area pinggiran pantai.",Wisata Alam,Kabupaten Sumenep,4.4,Pantai,7000,Pantai_lombang.png
80,Pantai Ambuten,"Ada lagi pantai indah di Sumenep yang terletak di Desa Ambuten Barat, Kecamatan Ambuten, Kabupaten Sumenep, Madura, Jawa Timur. Ingin berfoto dengan latar belakang area karang yang berongga kares terkikis ombak pantai? Jika ya, Anda dapat berkunung ke Pantai Ambuten. Di pantai ini ada area batu karang berongga (karena terkikis ombak pantai) yang sangat pas untuk dijadikan sebagai lokasi untuk berfoto. Berbeda dengan kebanyakan pantai di Kab. Sumenep yang lainnya, Pantai Ambuten memiliki pasir pantai yang berawarna coklat kemerahan. Selain itu, ombaknya oun juga relatif cukup tinggi.",Wisata Alam,Kabupaten Sumenep,5,Pantai,7000,pantai_ambuten.png
81,Bukit Tinggi Daramista,"Bukit Tinggi Daramista juga tergolong salah satu tempat wisata baru di Sumenep. Wisata ini termasuk salah satu wisata yang telah banyak diketahui oleh wisatawan, baik itu wisatawan lokal maupun dari luar daerah. Tingginya minat wisatawan terhadap tempat wisata hits di Sumenep yang satu ini tidak terlepas dari pemandangan alam dan spot fotonya yang luar biasa memukau. Ya, selain memiliki udara yang sejuk, bukit ini juga memiliki pemandangan alam dan berbagai macam spot foto yang sangat memulau. Tidak hanya itu, untuk dapat menarik wisatawan, pengelola objek wisata ini juga sudah menyediakan berbagai macam fasilitas wisata yang unik dan memukau.",Wisata Alam,Kabupaten Sumenep,4.1,Bukit,2000,Bukit_Tinggi_Daramista.png
82,Bukit Kapur Kombang,"Menurut informasi dari masyrakat setempat, bukit kapur ini dulunya merupakan area pertambangan. karena sudah tidak produktif, fungsinya mulai dialihkan dari kawasan tambang kapur menjadi area pariwisata yang terbuka untuk umum. Jika dilihat sekilas dari kejauhan, area bukit Kombang akan terlihat seperti bangunan kastil khas Benua Eropa yang sarat akan dinding-dinding artistik.",Wisata Alam,Kabupaten Sumenep,4.5,Bukit,2000,Bukit_Kapur_Kombang.png
83,Pantai Slopeng,"Pantai Slopeng merupakan pantai eksotis yang sangat pas untuk dijadikan sebagai lokasi untuk bermain air dan pasir di pinggi pantai. Kenapa? karena pantai ini memiliki ombak yang relatif cukup tenang. Tidak hanya itu, objek wisata ini juga memiliki garis pantai yang sangat panjang, yaitu menapai 6 km dengan beragam fasilitas wisata yang lengkap. Di kalangan masyarakat Sumenep dan sekitarnya, pantai ini dikenal sebagai salah satu tempat wisata favorit di hari libur dan akhir pekan.",Wisata Alam,Kabupaten Sumenep,4.3,Pantai,5000,pantai_slopeng_sumenep.png
84,Kepulauan Masalembu,"Kepulauan Masalembu merupakan area kepulauan di Laut Jawa yang terdiri atas tiga pulau utama, yaitu Pulau Masalembu, Pulau MasaKambing dan Pulau Keramaian. Mirip seperti pulau-pulau mini di Kab. Sumenep, Madura yang lainnya, Kepulauan Masalembu juga memiliki area terumbu karang yang cukup luas. selain itu, kepulauan ini kabarnya juga memilki struktur biodiversitas habitat yang cukup lengkap. Dari mulai terumbu karang, telu, rumput laut, pesisir litoral, sampai dnegan area umbalan semuanya bisa ditemui di kepulauan ini. ",Wisata Alam,Kabupaten Sumenep,3.9,Pulau,40000,Kepulauan_Masalembu.png
85,Pantai Sembilan,"Objek wisata gili memiliki pantai lain yang tidak kalah menarik untuk dikunjungi lho! Nama pantainya adalah Pantai Sembilan. Pantai ini menawarkan fasilitas wisata berupa spot foto, ATV, camping ground, banana boat, dan berbagai macam fasilitas wisata menarik lainnya. Untuk kondisi pantainya sendiri bisa dibilang masih tergolong sangat asri, bersih, dan alami dengan ombak yang tenang. Karena lokasinya yang tepat di ujung Pulau Genting, pantai ini juga sangat pas untuk dijadikan sebagai spot untuk menikmati indahnya sunrise di pagi hari dan sunset di sore hari.",Wisata Alam,Kabupaten Sumenep,4.5,Pantai,15000,pantai_sembilan.png
86,Pulau Mamburit,"Tempat wisata di sumenep berikutnya adalah pulau Mamburit yang terkenal dengan keindahan pantainya yang sangat luar biasa. Pulau ini memiliki keindahan alam bawah laut yang tidak kalah seoerti di Indoensia Timur sana, dengan hamparan pasir putih, air laut yang jernih serta terumbu karang yang begitu asri. Nah, untuk bisa mencapai pulau Mamburit ini kamu harus menempuh perjalanan laut dari pelabuhan batu gubuk yang terletak di pulau Kangean, sekitar 20 menit. ",Wisata Alam,Kabupaten Sumenep,4.6,Pulau,5000,Pulau_Mamburit.png
87,Taman Adipura Kota Sumenep,"Taman Adipura ini biasa dikenal dengan sebutan Taman Bunga (TB) oleh warga sumenep. Lokasinya tepat berseberangan dengan Masjid Agung Sumenep. Di taman ini banyak ditanami bunga yang ditata rapi. Terdapat pula monumen Adipura. Taman ini biasa digunakan untuk refreshing, jogging, event lomba hingga pembelajaran diluar kelas. Pada sore hingga malam, taman ini ditempati pasar malam dan aneka permainan untuk anak-anak seperti odong-odong.",Wisata Alam,Kabupaten Sumenep,4.5,Taman,Gratis,Taman_Adipura_Kota_Sumenep.png
88,Masjid Agung Sumenep,"Masjid Agung Keraton Sumenep adalah salah satu masjid tua di Indonesia yang memiliki makna filosofis di setiap detail dan sejarah bangunannya. Masjid ini terletak di pusat kota Sumenep, kabupaten paling timur di Pulau Madura, Jawa Timur.Masjid yang dulu bernama Masjid Jami’ dan merupakan masjid Keraton Sumenep ini menggabungkan berbagai unsur budaya dalam rancang bangunnya, diantaranya Persia, Arab, India, Cina, dan Jawa. Pola ekletis ini seperti merepresentasikan keberagaman etnis yang tinggal di pulau penghasil garam tersebut. Pengaruh unsur Arab dan Persia dapat terlihat pada peletakan kubah kecil di atap bangunan di sisi kanan dan kiri halaman masjid. Warna-warna kontras yang memadukan merah, hijau, dan emas pada beberapa detail elemen ukir mengingatkan pada gaya ornamen negeri Cina.",Wisata Alam,Kabupaten Sumenep,4.8,Wisata Religi,Gratis,Masjid_Agung_Sumenep.png
89,Museum Keraton Sumenep,"Museum ini menempati bangunan yang ada di dalam kompleks Keraton Sumenep. Keraton Sumenep atau keraton Panembahan Sumolo dibangun pada 1762, pada masa pemerintahan Panembahan Sumolo I atau Tumenggung Arya Nata Kusuma. Arsitek keraton ini berkebangsaan Cina, bernama Louw Phia Ngo. Ia memadukan gaya arsitektur Islam, Eropa, Cina, dan Jawa. Museum ini berada di bawah kepemilikan Dinas Kebudayaan, Pariwisata, Pemuda, dan Olahraga Kabupaten Sumenep dan dikelola oleh Unit Pelaksana Teknis (UPT) Museum Keraton Sumenep.",Wisata Buatan,Kabupaten Sumenep,4.6,Museum,10000,Museum_keraton_sumenep.png
90,Pantai Badur,"Dari banyak pantai yang ada, sesekali coba lah menjejaki Pantai Badur. Kemudian, nikmati keindahannya. Pantai Badur terletak di Desa Badur, Kecamatan Batu Putih, Kabupaten Sumenep. Jaraknya sekitar 18 kilometer dari pusat Kota Sumenep, atau kurang lebih bisa ditempuh sekitar 30 menit perjalanan. Adapun fasilitas yang ada di tempat ini sudah lumayan baik dan memenuhi standar, seperti ada kamar mandi umum, tempat ibadah, warung-warung makan, dan tempat parkir. Di sana, wisatawan bisa memancing pada perairan tawarnya. Jika ingin berlibur ke Pantai Badur, Anda sebaiknya menggunakan kendaraan pribadi karena akan cukup sulit menemukan kendaraan umum yang menuju ke tempat ini.",Wisata Alam,Kabupaten Sumenep,4.5,Pantai,5000,pantai_badur_sumenep.png
91,Padang Lamun,"Pulau ini menyajikan pemandangan alam eksotis, sehinga sangat menarik untuk dikunjungi. Untuk mencapai pulau ini, dibutuhkan waktu sekitar 30 menit dengan menggunakan kapal. Pulau yang dikenal dengan sebutan pulau podhay oleh masyarakat, menyimpan keindahan bawah laut dan hutan mangrove yang masih alami.Keunikan Padang Lamun di Pulau Sapudi adalah terdapatnya 6 jenis flora yang berbeda. Selain itu, kamu juga bisa menikmati ikan-ikan kecil, terumbu karang serta hutan mangrove di sekitar kawasan ini. Tak hanya itu, wisatawan bisa menyewa perahu laut untuk menikmati Padang Lamun secara keseluruhan. Di bagian barat dan selatan kawasan ini kamu bisa snorkeling dan bermain. Pulau ini kaya akan sumber daya alamnya. Terumbu karang dan ikan-ikan kecil yang cantik, keberadaan hutan mangrove yang sejuk, dan padang lamun terhampar luas di tepi peraian laut dangkal. ",Wisata Alam,Kabupaten Sumenep,4.3,Pantai,10000,padang_lamun_sumenep.png
92,Pantai Ropet,"Perjalanan memakan waktu sekitar 30 menit dari Pelabuhan Dungkek ke Dermaga Gili Iyang  . Wisatawan bisa menyewa transportasi lokal yang bisa diisi sekitar tujuh orang. Ada beberapa spot destinasi yang cantik di Gili Iyang. Salah satunya Pantai Ropet. Pantai indah dengan batu karang melengkung ke dalam seperti sebuah teluk menjadi ciri khas spot wisata di Gili Iyang tersebut. Suasana yang asri, angin sepoy-sepoy dan beberapa spot foto bisa kalian nikmati di bibir pantai ini. Pantai ropet memiliki tebing yang tinggi, dan airnya sangat jernih yang  memudahkan wisatawan  untuk dapat melihat secara jelas terumbu karang yang ada dibawah laut.",Wisata Alam,Kabupaten Sumenep,4.5,Pantai,8000,pantai_ropet_sumenep.png
93,Pantai e Kasoghi,"Tidak salah jika Kabupaten Sumenep yang berada di ujung utara Madura dengan branding “The Soul Of Madura”. Kabupaten yang berada di ujung pulau Madura ini, memiliki potensi sumber daya keindahan alam yang besar. Tentunya anda sudah tidak asing lagi mendengar kenidahan alam Kabupaten Sumenep seperti; Pantai Lombang, Pantai Slopeng, Pulau Gili Labak, Pulau Oksigen Giliyang, dan Pantai Sembilan. Pada pertengahan tahun 2020 telah launching wisata eksotis Pantai Ekashogi yang berada di desa Tanjung, Kecamatan Saronggi, Kabupaten Sumenep. Wisata yang lanunching pada akhir Juni 2020 ini, memang masih belum 50% pengerjaan. Namun yang perlu sobat tahu, pantai ini sudah mampu menarik banyak wisatawan untuk berkunjung karena keindahan pantainya yang dibalut dengan hijaunya pohon mangrove yang berada disekitar pantai. Perlu diketahui bahwa jalan menuju Pantai Ekashogi masih sangat sempit yakni hanya satu arah. Namun untuk parkirnya sangat luas. ",Wisata Alam,Kabupaten Sumenep,4.3,Pantai,10000,Pantai_e_Kasoghi.png
94,Wisata Mangrove Kedatim,"Terletak di Desa Kebundadap timur, Saronggi, Sumenep, Jawa Timur, tempat ini telah menjadi daya tarik para wisatawan, baik dari dalam maupun luar kota. Selain menawarkan keindahan alam yang mengagumkan, Wisata Mangrove Kedatim juga telah diakui dan dinobatkan menjadi juara dalam lomba Desa Wisata Nusantara tahun 2022 lalu. Wisata ini menawarkan pemandangan mempesona dengan suasana hutan mangrove yang hijau dan asri. Pohon bakau yang menjulang tinggi, akar-akar yang menjalar, serta kicauan burung, memancarkan kedamaian untuk dinikmati dengan tenang.",Wisata Buatan,Kabupaten Sumenep,4.6,Magrove,10000,wisata_mangrove_kedatim.png
95,Wisata Taman Tectona,"Taman Tectona merupakan salah satu tempat wisata favorit keluarga. Lokasinya berada di Kabupaten Sumenep, Jawa Timur. Taman wisata ini menawarkan tempat berlibur yang seru dan nyaman terutama bagi anak-anak. Tempat wisata ini banyak dihiasi tanaman-tanaman hijau, susananya asri dengan lingkungan alami. Disekitar kawasan wisata ini banyak ditumbuhi oleh pohon-pohon jati yang mengelilingi Taman Tectona. Daya tarik dari tempat wisata ini banyak tersedia spot-spot foto keren dan instagenic. Taman wisata ini juga menyediakan kolam renang khusus anak-anak dan dewasa. Sebagai sarana edukasi anak-anak, pihak pengelola juga menyediakan fasilitas outbond khusus untuk anak-anak.",Wisata Buatan,Kabupaten Sumenep,4.1,Taman,15000,Wisata_taman_Tectona.png
96,Taman Wisata Alam Pagarbatu,"Taman Wisata Alam Pagarbatu sering dikenal juga dengan Boekit Tawap Lengleng. Merupakan destinasi wisata yang ada di Kabupaten Sumenep, Jawa Timur. Taman wisata alam yang letaknya berada di perbukitan Lengleng, tepatnya di Dusun Bungandun, Desa Pagarbatu. Taman wisata ini menawarkan panorama alam yang indah dengan beragam wahana seru. Yang menjadi daya tarik dari tempat wisata ini terdapatnya pemandian air belerang. Disini juga terdapat kolam renang untuk dewasa dan anak-anak. Kolam renang dengan air jernih dan sejuk berasal dair mata air pegunungan. Sarana umum dan fasilitas yang tersedia cukup lengkap dan nyaman. Seperti toilet, mushola dan ruang ganti. Terdapat beberapa gazebo yang bisa pengunjung gunakan untuk bersantai dan beristirahat.",Wisata Buatan,Kabupaten Sumenep,4.3,Raman,10000,taman_wisata_alam_pagar_batu.png
97,Waterpark Sumekar Sumenep,"Waterpark Sumekar merupakan tempat rekreasi yang menawarkan permianan air yang seru. Wisata buatan berupa kolam renang yang bertemakan waterpark. Tersedia kolam renang khusus anak-anak dan untuk dewasa. Tempat wisata ini menyediakan cukup banyak wahana permainan air. Seperti seluncuran, slide hingga ember tumpah. Di Waterpak Sumekar juga terdapat mini train. Mini Train ini bisa digunakan pengunjung untuk berkeliling area wisata dan melihat berbagai wahana yang ada. Wahana lain yang tersedia diantaranya terdapat Game Cart, Cassowary, Cungkat Cungkit, dan Astage Art. Keseruan lain yang ditawarkan di Waterpark Sumekar yaitu mini zoo. Terdapat banyak koleksi satwa seperti ular, kanguru, kuda, burung kakak tua, elang, kijang dan lainnya.",Wisata Buatan,Kabupaten Sumenep,4.2,Wisata Hiburan,15000,Waterpark_Sumekar_Sumenep.png
